season,week,player_id,player_slug,player_name,price,recorded_at
bb28,1,192,angela,Angela,7.00,2026-07-15T03:23:18.000000Z
bb28,1,179,barrett,Barrett,7.00,2026-07-15T03:23:18.000000Z
bb28,1,180,chuk,Chuk,5.00,2026-07-15T03:23:18.000000Z
bb28,1,194,dee,Dee,9.00,2026-07-15T03:23:18.000000Z
bb28,1,193,devens,Devens,7.00,2026-07-15T03:23:18.000000Z
bb28,1,181,drew,Drew,7.00,2026-07-15T03:23:18.000000Z
bb28,1,182,haley,Haley,2.00,2026-07-15T03:23:18.000000Z
bb28,1,183,jason,Jason,4.00,2026-07-15T03:23:18.000000Z
bb28,1,184,kamu,Kamu,4.00,2026-07-15T03:23:18.000000Z
bb28,1,185,latrice,LaTrice,5.00,2026-07-15T03:23:18.000000Z
bb28,1,186,lyric,Lyric,5.00,2026-07-15T03:23:18.000000Z
bb28,1,187,mallory,Mallory,5.00,2026-07-15T03:23:18.000000Z
bb28,1,188,melody,Melody,4.00,2026-07-15T03:23:18.000000Z
bb28,1,190,taylor,Taylor,4.00,2026-07-15T03:23:18.000000Z
bb28,1,191,yash,Yash,2.00,2026-07-15T03:23:18.000000Z
bb28,2,192,angela,Angela,7.05,2026-07-21T04:59:46.000000Z
bb28,2,179,barrett,Barrett,4.90,2026-07-21T04:59:46.000000Z
bb28,2,180,chuk,Chuk,4.00,2026-07-21T04:59:46.000000Z
bb28,2,194,dee,Dee,8.64,2026-07-21T04:59:46.000000Z
bb28,2,193,devens,Devens,4.90,2026-07-21T04:59:46.000000Z
bb28,2,181,drew,Drew,7.05,2026-07-21T04:59:46.000000Z
bb28,2,182,haley,Haley,2.37,2026-07-21T04:59:46.000000Z
bb28,2,183,jason,Jason,3.06,2026-07-21T04:59:46.000000Z
bb28,2,184,kamu,Kamu,5.01,2026-07-21T04:59:46.000000Z
bb28,2,185,latrice,LaTrice,4.00,2026-07-21T04:59:46.000000Z
bb28,2,186,lyric,Lyric,6.00,2026-07-21T04:59:46.000000Z
bb28,2,187,mallory,Mallory,4.00,2026-07-21T04:59:46.000000Z
bb28,2,188,melody,Melody,3.82,2026-07-21T04:59:46.000000Z
bb28,2,190,taylor,Taylor,3.82,2026-07-21T04:59:46.000000Z
bb28,2,191,yash,Yash,2.18,2026-07-21T04:59:46.000000Z
bb28,3,192,angela,Angela,5.92,2026-07-28T22:51:55.000000Z
bb28,3,179,barrett,Barrett,4.90,2026-07-28T22:51:55.000000Z
bb28,3,180,chuk,Chuk,3.82,2026-07-28T22:51:55.000000Z
bb28,3,194,dee,Dee,10.73,2026-07-28T22:51:55.000000Z
bb28,3,193,devens,Devens,7.40,2026-07-28T22:51:55.000000Z
bb28,3,181,drew,Drew,5.92,2026-07-28T22:51:55.000000Z
bb28,3,182,haley,Haley,2.21,2026-07-28T22:51:56.000000Z
bb28,3,183,jason,Jason,2.57,2026-07-28T22:51:56.000000Z
bb28,3,184,kamu,Kamu,4.21,2026-07-28T22:51:56.000000Z
bb28,3,185,latrice,LaTrice,2.56,2026-07-28T22:51:56.000000Z
bb28,3,186,lyric,Lyric,6.96,2026-07-28T22:51:56.000000Z
bb28,3,187,mallory,Mallory,3.82,2026-07-28T22:51:56.000000Z
bb28,3,188,melody,Melody,3.57,2026-07-28T22:51:56.000000Z
bb28,3,190,taylor,Taylor,4.38,2026-07-28T22:51:56.000000Z
bb28,3,191,yash,Yash,1.83,2026-07-28T22:51:56.000000Z
