season,week,player_id,player_slug,player_name,rater_id,rater_name,rater_role,rating,recorded_at
bb28,1,192,angela,Angela,1,Audience,audience,7,2026-07-15T03:20:40.000000Z
bb28,1,192,angela,Angela,4,Taran Armstrong,host,7,2026-07-15T03:20:38.000000Z
bb28,1,192,angela,Angela,9,Melissa Deni,host,7,2026-07-15T03:20:38.000000Z
bb28,1,192,angela,Angela,7620,Aysha Welch,guest,7,2026-07-15T03:20:39.000000Z
bb28,1,178,ashley,Ashley,1,Audience,audience,3,
bb28,1,178,ashley,Ashley,4,Taran Armstrong,host,3,
bb28,1,178,ashley,Ashley,9,Melissa Deni,host,3,
bb28,1,178,ashley,Ashley,7620,Aysha Welch,guest,3,
bb28,1,179,barrett,Barrett,1,Audience,audience,7,2026-07-15T03:20:54.000000Z
bb28,1,179,barrett,Barrett,4,Taran Armstrong,host,7,2026-07-15T03:20:48.000000Z
bb28,1,179,barrett,Barrett,9,Melissa Deni,host,7,2026-07-15T03:20:48.000000Z
bb28,1,179,barrett,Barrett,7620,Aysha Welch,guest,8,2026-07-15T03:20:49.000000Z
bb28,1,180,chuk,Chuk,1,Audience,audience,4,2026-07-15T03:20:55.000000Z
bb28,1,180,chuk,Chuk,4,Taran Armstrong,host,5,2026-07-15T03:20:53.000000Z
bb28,1,180,chuk,Chuk,9,Melissa Deni,host,5,2026-07-15T03:20:54.000000Z
bb28,1,180,chuk,Chuk,7620,Aysha Welch,guest,5,2026-07-15T03:20:55.000000Z
bb28,1,194,dee,Dee,1,Audience,audience,8,2026-07-15T03:21:05.000000Z
bb28,1,194,dee,Dee,4,Taran Armstrong,host,9,2026-07-15T03:21:02.000000Z
bb28,1,194,dee,Dee,9,Melissa Deni,host,9,2026-07-15T03:21:03.000000Z
bb28,1,194,dee,Dee,7620,Aysha Welch,guest,9,2026-07-15T03:21:03.000000Z
bb28,1,193,devens,Devens,1,Audience,audience,7,2026-07-15T03:21:12.000000Z
bb28,1,193,devens,Devens,4,Taran Armstrong,host,7,2026-07-15T03:21:06.000000Z
bb28,1,193,devens,Devens,9,Melissa Deni,host,7,2026-07-15T03:21:07.000000Z
bb28,1,193,devens,Devens,7620,Aysha Welch,guest,7,2026-07-15T03:21:07.000000Z
bb28,1,181,drew,Drew,1,Audience,audience,7,2026-07-15T03:21:12.000000Z
bb28,1,181,drew,Drew,4,Taran Armstrong,host,7,2026-07-15T03:21:09.000000Z
bb28,1,181,drew,Drew,9,Melissa Deni,host,7,2026-07-15T03:21:10.000000Z
bb28,1,181,drew,Drew,7620,Aysha Welch,guest,6,2026-07-15T03:21:11.000000Z
bb28,1,182,haley,Haley,1,Audience,audience,3,2026-07-15T03:21:30.000000Z
bb28,1,182,haley,Haley,4,Taran Armstrong,host,2,2026-07-15T03:21:26.000000Z
bb28,1,182,haley,Haley,9,Melissa Deni,host,2,2026-07-15T03:21:26.000000Z
bb28,1,182,haley,Haley,7620,Aysha Welch,guest,2,2026-07-15T03:21:28.000000Z
bb28,1,183,jason,Jason,1,Audience,audience,4,2026-07-15T03:21:35.000000Z
bb28,1,183,jason,Jason,4,Taran Armstrong,host,3,2026-07-15T03:21:35.000000Z
bb28,1,183,jason,Jason,9,Melissa Deni,host,3,2026-07-15T03:21:33.000000Z
bb28,1,183,jason,Jason,7620,Aysha Welch,guest,4,2026-07-15T03:21:35.000000Z
bb28,1,184,kamu,Kamu,1,Audience,audience,4,2026-07-15T03:21:42.000000Z
bb28,1,184,kamu,Kamu,4,Taran Armstrong,host,4,2026-07-15T03:21:39.000000Z
bb28,1,184,kamu,Kamu,9,Melissa Deni,host,3,2026-07-15T03:21:40.000000Z
